target,action,timestamp,status
benaffleck,follow,2025-05-18T21:35:04.823922,fail
demilovato,follow,2025-05-18T21:36:57.698055,fail
ed sheeran,follow,2025-05-18T21:37:50.513066,fail
emilyratajkowski,unfollow,2025-05-18T21:39:40.689620,fail
evanpeters,follow,2025-05-18T21:39:46.902128,fail
harry_styles,follow,2025-05-18T21:40:30.110869,fail
hughjackman,follow,2025-05-18T21:40:48.978264,fail
lilycollins,follow,2025-05-18T21:46:09.118520,fail
margotrobbie,follow,2025-05-18T21:47:18.199968,fail
monicabellucci,follow,2025-05-18T21:49:02.797237,fail
ninadobrev,follow,2025-05-18T21:49:28.560194,fail
petedavidson,follow,2025-05-18T21:50:37.660741,fail
scarlettjohansson,follow,2025-05-18T21:52:30.434616,fail
