target,action,timestamp,status
adele,follow,2025-05-18T21:33:34.444740,success
aliciakeys,follow,2025-05-18T21:33:44.258575,success
amandacerny,unfollow,2025-05-18T21:33:53.529658,success
anitta,follow,2025-05-18T21:34:01.777382,success
annehathaway,follow,2025-05-18T21:34:22.611081,success
ashleygraham,follow,2025-05-18T21:34:32.375243,success
barackobama,follow,2025-05-18T21:34:44.419691,success
bellahadid,unfollow,2025-05-18T21:34:55.737691,success
blakelively,follow,2025-05-18T21:35:13.222740,success
britneyspears,unfollow,2025-05-18T21:35:24.729574,success
cardib,follow,2025-05-18T21:35:39.348402,success
charlieputh,follow,2025-05-18T21:35:47.256647,success
chrissyteigen,follow,2025-05-18T21:35:58.620700,success
ciara,follow,2025-05-18T21:36:08.039312,success
cole_sprouse,follow,2025-05-18T21:36:18.830709,success
connor_mcdavid,follow,2025-05-18T21:36:28.154988,success
davidbeckham,follow,2025-05-18T21:36:46.964126,success
djkhaled,follow,2025-05-18T21:37:06.872788,success
dojacat,follow,2025-05-18T21:37:20.360568,success
drake,follow,2025-05-18T21:37:40.437630,success
ellenpompeo,follow,2025-05-18T21:38:02.800674,success
elonmusk,follow,2025-05-18T21:38:14.568862,success
emilia_clarke,follow,2025-05-18T21:38:26.249052,success
floydmayweather,follow,2025-05-18T21:39:58.831511,success
gigihadid,unfollow,2025-05-18T21:40:11.225853,success
haileybieber,follow,2025-05-18T21:40:21.455496,success
heidi_klum,follow,2025-05-18T21:40:40.826034,success
iamcardib,follow,2025-05-18T21:40:58.037712,success
idriselba,follow,2025-05-18T21:41:08.898903,success
j_cole,follow,2025-05-18T21:41:16.519033,success
jadapinkettsmith,follow,2025-05-18T21:41:24.158427,success
jakegyllenhaal,follow,2025-05-18T21:41:32.795453,success
jamescharles,unfollow,2025-05-18T21:41:41.078102,success
jasonstatham,follow,2025-05-18T21:41:50.454386,success
jenniferaniston,follow,2025-05-18T21:42:01.103544,success
jessicaalba,follow,2025-05-18T21:42:10.992551,success
jimmyfallon,follow,2025-05-18T21:42:26.307559,success
johnlegend,follow,2025-05-18T21:42:37.937288,success
johnnydepp,follow,2025-05-18T21:42:48.107633,success
jordynwoods,follow,2025-05-18T21:42:58.204794,success
justintimberlake,follow,2025-05-18T21:43:23.517504,success
kanyewest,follow,2025-05-18T21:43:31.766352,success
katemiddleton,follow,2025-05-18T21:43:42.705969,success
katypurry,follow,2025-05-18T21:44:09.629096,success
kellyclarkson,follow,2025-05-18T21:44:22.227401,success
kerrywashington,follow,2025-05-18T21:44:34.302694,success
kevinjonas,follow,2025-05-18T21:44:44.908749,success
khaby.lame,follow,2025-05-18T21:44:55.636466,success
kimberlyloaiza,follow,2025-05-18T21:45:07.980151,success
ladygaga,follow,2025-05-18T21:45:15.393612,success
lalisa,follow,2025-05-18T21:45:36.180973,success
laurenconrad,follow,2025-05-18T21:45:43.557395,success
lilnasx,follow,2025-05-18T21:45:58.177447,success
lizzo,follow,2025-05-18T21:46:20.474010,success
loganpaul,follow,2025-05-18T21:46:30.565836,success
lucyhale,follow,2025-05-18T21:46:46.559532,success
madonna,follow,2025-05-18T21:46:57.163847,success
maiminh,follow,2025-05-18T21:47:06.813170,success
markwahlberg,follow,2025-05-18T21:47:29.690988,success
meganfox,follow,2025-05-18T21:47:39.013371,success
michaelbjordan,follow,2025-05-18T21:48:14.451298,success
mileycyrus,follow,2025-05-18T21:48:26.256701,success
milliebobbybrown,follow,2025-05-18T21:48:39.586519,success
mindykaling,follow,2025-05-18T21:48:50.007294,success
naomscott,follow,2025-05-18T21:49:10.332782,success
nickjonas,follow,2025-05-18T21:49:18.964579,success
noahcentineo,follow,2025-05-18T21:49:39.150991,success
oliviaculpo,follow,2025-05-18T21:49:50.519181,success
oprah,follow,2025-05-18T21:50:00.882750,success
parishilton,follow,2025-05-18T21:50:10.183423,success
paulwalker,follow,2025-05-18T21:50:27.327480,success
phoebe_tonkin,follow,2025-05-18T21:50:51.816899,success
postmalone,follow,2025-05-18T21:51:02.248619,success
reesewitherspoon,follow,2025-05-18T21:51:11.011019,success
robertdowneyjr,follow,2025-05-18T21:51:35.393885,success
rosiehw,follow,2025-05-18T21:51:42.972930,success
ryanreynolds,follow,2025-05-18T21:52:03.164736,success
sabrinacarpenter,follow,2025-05-18T21:52:12.855917,success
sarahhyland,follow,2025-05-18T21:52:23.608034,success
selena,follow,2025-05-18T21:52:38.387296,success
shaymitchell,follow,2025-05-18T21:52:48.351039,success
snoopdogg,follow,2025-05-18T21:52:57.329594,success
sofiarichie,follow,2025-05-18T21:53:08.623868,success
sofia_vergara,follow,2025-05-18T21:53:17.795662,success
tchalamet,follow,2025-05-18T21:53:27.599594,success
tomholland2013,follow,2025-05-18T21:53:47.978260,success
victoriabeckham,follow,2025-05-18T21:54:12.000936,success
